location,size,total_sqft,bath,price,bhk,price_per_sqft
Ambalipura,2 BHK,1351.0,2.0,77.0,2,5699.481865284974
9th Phase JP Nagar,5 Bedroom,1200.0,5.0,160.0,5,13333.333333333334
Kammasandra,3 BHK,1365.0,2.0,34.13,3,2500.3663003663005
Kanakpura Road,3 BHK,1610.0,3.0,78.5,3,4875.776397515528
Electronic City,3 BHK,1500.0,2.0,78.0,3,5200.0
Kogilu,2 BHK,1250.0,2.0,55.55,2,4444.0
Tumkur Road,4 Bedroom,1100.0,2.0,60.0,4,5454.545454545455
5th Block Hbr Layout,6 Bedroom,1200.0,6.0,250.0,6,20833.333333333332
Yelahanka,2 BHK,1026.0,2.0,41.0,2,3996.101364522417
other,3 BHK,1639.0,3.0,123.0,3,7504.5759609518
Bellandur,3 BHK,1138.0,3.0,128.0,3,11247.80316344464
Thanisandra,2 BHK,1220.0,2.0,46.0,2,3770.4918032786886
other,3 BHK,2072.0,3.0,108.0,3,5212.355212355213
Marathahalli,2 BHK,1270.0,2.0,80.0,2,6299.212598425197
Bommasandra,3 BHK,1280.0,3.0,50.0,3,3906.25
other,3 Bedroom,3200.0,3.0,260.0,3,8125.0
Yeshwanthpur,5 Bedroom,850.0,4.0,90.0,5,10588.235294117649
Raja Rajeshwari Nagar,2 BHK,1165.0,2.0,45.0,2,3862.660944206009
7th Phase JP Nagar,3 BHK,1300.0,2.0,52.0,3,4000.0
other,6 BHK,900.0,5.0,100.0,6,11111.111111111111
Horamavu Agara,3 BHK,1623.0,3.0,89.0,3,5483.672211953173
Yeshwanthpur,3 BHK,1382.0,2.0,76.18,3,5512.301013024603
TC Palaya,2 Bedroom,900.0,2.0,55.0,2,6111.111111111111
Basavangudi,3 BHK,2350.0,3.0,300.0,3,12765.95744680851
Yelahanka,3 BHK,1517.0,3.0,71.28,3,4698.7475280158205
other,3 BHK,2900.0,3.0,325.0,3,11206.896551724138
Kalena Agrahara,2 BHK,1270.0,2.0,100.0,2,7874.015748031496
Green Glen Layout,3 BHK,1725.0,3.0,130.0,3,7536.231884057971
Bisuvanahalli,3 BHK,1180.0,2.0,45.0,3,3813.5593220338983
Kalena Agrahara,2 BHK,1200.0,3.0,70.0,2,5833.333333333333
Vidyaranyapura,2 BHK,945.0,2.0,40.0,2,4232.804232804233
Electronic City,3 BHK,1652.0,3.0,70.0,3,4237.28813559322
Amruthahalli,2 BHK,900.0,2.0,60.0,2,6666.666666666667
Whitefield,2 BHK,1125.0,2.0,62.0,2,5511.111111111111
Ananth Nagar,2 BHK,1010.0,2.0,38.0,2,3762.3762376237623
Hebbal,4 BHK,2790.0,4.0,198.0,4,7096.774193548387
other,3 BHK,2250.0,3.0,199.0,3,8844.444444444445
other,3 BHK,2280.0,3.0,285.0,3,12500.0
Chandapura,2 Bedroom,1500.0,2.0,60.0,2,4000.0
Banashankari,3 Bedroom,600.0,3.0,100.0,3,16666.666666666668
Whitefield,2 BHK,1205.0,2.0,40.0,2,3319.5020746887967
Bellandur,2 BHK,1195.0,2.0,51.0,2,4267.782426778243
other,4 Bedroom,3100.0,5.0,425.0,4,13709.67741935484
Banashankari,2 BHK,1260.0,2.0,75.0,2,5952.380952380952
Bannerghatta Road,3 BHK,1460.0,2.0,72.0,3,4931.506849315068
Sarjapur  Road,3 BHK,1157.0,2.0,75.0,3,6482.281763180639
Yeshwanthpur,3 Bedroom,682.0,2.0,130.0,3,19061.58357771261
Battarahalli,3 BHK,1880.0,3.0,94.36,3,5019.148936170212
OMBR Layout,5 Bedroom,600.0,3.0,140.0,5,23333.333333333332
Jigani,4 Bedroom,3170.0,5.0,230.0,4,7255.520504731861
Hennur,2 BHK,1231.0,2.0,48.0,2,3899.268887083672
Sarjapur  Road,3 BHK,1770.0,3.0,180.0,3,10169.49152542373
Anandapura,2 BHK,1167.0,2.0,43.76,2,3749.785775492716
Raja Rajeshwari Nagar,2 BHK,1240.0,2.0,42.04,2,3390.3225806451615
Electronic City,2 BHK,1355.0,2.0,67.0,2,4944.649446494465
other,4 Bedroom,4800.0,6.0,420.0,4,8750.0
other,2 BHK,1200.0,2.0,75.0,2,6250.0
Hennur,2 BHK,1255.0,2.0,52.32,2,4168.924302788844
other,3 BHK,1670.0,3.0,91.86,3,5500.5988023952095
other,3 BHK,1300.0,3.0,58.0,3,4461.538461538462
Whitefield,3 BHK,1755.0,3.0,101.0,3,5754.985754985755
Kanakpura Road,3 BHK,1100.0,3.0,58.0,3,5272.727272727273
Kanakpura Road,2 BHK,1296.0,2.0,89.06,2,6871.913580246914
NRI Layout,4 Bedroom,1200.0,4.0,95.0,4,7916.666666666667
other,2 BHK,1200.0,2.0,62.5,2,5208.333333333333
Whitefield,3 BHK,1897.0,3.0,130.0,3,6852.925672113864
Thanisandra,3 BHK,1573.0,3.0,100.0,3,6357.279084551812
Hegde Nagar,3 BHK,2162.03,4.0,129.0,3,5966.614709324107
Kaikondrahalli,4 Bedroom,1200.0,4.0,125.0,4,10416.666666666666
Banashankari Stage III,2 BHK,910.0,2.0,160.0,2,17582.417582417584
other,3 BHK,1425.0,3.0,55.0,3,3859.6491228070176
Koramangala,2 BHK,1355.0,2.0,95.0,2,7011.070110701107
Whitefield,2 BHK,1100.0,2.0,46.5,2,4227.272727272727
Whitefield,2 BHK,1280.0,2.0,75.0,2,5859.375
other,3 BHK,1430.0,3.0,70.0,3,4895.104895104895
Banashankari,9 Bedroom,1200.0,9.0,145.0,9,12083.333333333334
Sonnenahalli,1 BHK,614.5,1.0,30.715,1,4998.372660699756
Raja Rajeshwari Nagar,3 BHK,1751.0,3.0,72.0,3,4111.936036550543
other,3 BHK,1643.0,3.0,75.0,3,4564.820450395618
Bommasandra,3 BHK,1447.0,3.0,80.0,3,5528.6800276434005
Bellandur,3 BHK,1490.0,2.0,98.0,3,6577.181208053691
Uttarahalli,6 Bedroom,1200.0,6.0,330.0,6,27500.0
Kumaraswami Layout,2 BHK,1000.0,2.0,58.0,2,5800.0
Amruthahalli,3 BHK,1450.0,2.0,90.0,3,6206.896551724138
other,2 Bedroom,1200.0,2.0,79.0,2,6583.333333333333
Kasavanhalli,2 BHK,1100.0,2.0,65.0,2,5909.090909090909
Thanisandra,2 BHK,1225.0,2.0,37.0,2,3020.408163265306
Akshaya Nagar,3 BHK,1662.0,3.0,85.0,3,5114.320096269555
TC Palaya,5 Bedroom,1440.0,5.0,100.0,5,6944.444444444444
other,8 Bedroom,2500.0,8.0,95.0,8,3800.0
Whitefield,2 BHK,1227.0,2.0,70.0,2,5704.9714751426245
other,2 BHK,970.0,2.0,40.0,2,4123.711340206186
Whitefield,2 BHK,1063.0,2.0,42.52,2,4000.0
Thanisandra,2 BHK,1220.0,2.0,43.92,2,3600.0
Panathur,2 BHK,1438.0,2.0,100.0,2,6954.102920723227
other,9 Bedroom,1178.0,9.0,75.0,9,6366.723259762309
Kudlu,2 BHK,1027.0,2.0,44.0,2,4284.323271665044
other,3 BHK,1592.0,3.0,75.0,3,4711.05527638191
Raja Rajeshwari Nagar,2 BHK,1133.0,2.0,38.41,2,3390.114739629302
other,3 Bedroom,1200.0,3.0,205.0,3,17083.333333333332
Jakkur,3 BHK,1150.0,3.0,65.0,3,5652.173913043478
other,3 BHK,1655.0,3.0,155.0,3,9365.558912386708
Kalyan nagar,2 BHK,1086.0,2.0,44.5,2,4097.605893186003
other,2 BHK,1175.0,2.0,70.0,2,5957.446808510638
Whitefield,2 BHK,1250.0,2.0,82.0,2,6560.0
Kanakpura Road,3 BHK,1100.0,3.0,58.0,3,5272.727272727273
Chandapura,3 BHK,1345.0,2.0,39.5,3,2936.8029739776953
Bellandur,3 BHK,1830.0,3.0,90.0,3,4918.0327868852455
Kadugodi,5 BHK,1100.0,5.0,135.0,5,12272.727272727272
7th Phase JP Nagar,2 BHK,1040.0,2.0,41.59,2,3999.038461538462
Electronic City,3 BHK,1410.0,2.0,38.0,3,2695.0354609929077
Whitefield,3 BHK,2010.0,3.0,91.0,3,4527.363184079602
Mahadevpura,2 BHK,1212.0,2.0,56.9,2,4694.7194719471945
other,3 BHK,1464.0,3.0,56.0,3,3825.136612021858
Whitefield,3 BHK,1405.0,2.0,78.0,3,5551.601423487545
Budigere,2 BHK,1139.0,2.0,72.0,2,6321.334503950834
Haralur Road,2 BHK,1140.0,2.0,43.0,2,3771.929824561403
other,4 BHK,2780.0,5.0,480.0,4,17266.187050359713
JP Nagar,9 Bedroom,2550.0,9.0,360.0,9,14117.64705882353
7th Phase JP Nagar,3 BHK,1300.0,2.0,52.0,3,4000.0
Bommasandra Industrial Area,3 BHK,1320.0,2.0,38.13,3,2888.636363636364
other,4 Bedroom,817.0,2.0,120.0,4,14687.882496940025
BTM 2nd Stage,3 BHK,1750.0,3.0,172.0,3,9828.57142857143
Electronic City Phase II,2 BHK,972.0,2.0,44.0,2,4526.748971193416
Kalyan nagar,2 BHK,1280.0,2.0,48.0,2,3750.0
Mahadevpura,2 BHK,1475.0,2.0,55.0,2,3728.813559322034
Ambalipura,3 BHK,1650.0,3.0,100.0,3,6060.606060606061
Kothannur,6 Bedroom,930.0,6.0,150.0,6,16129.032258064515
Varthur,2 BHK,1180.0,2.0,55.0,2,4661.016949152542
JP Nagar,4 Bedroom,1500.0,2.0,87.0,4,5800.0
KR Puram,2 BHK,1277.5,2.0,56.8,2,4446.183953033268
Yelahanka,3 BHK,1345.0,2.0,57.0,3,4237.918215613383
Chandapura,2 BHK,922.0,2.0,36.0,2,3904.5553145336225
Uttarahalli,2 BHK,1125.0,2.0,47.0,2,4177.777777777777
7th Phase JP Nagar,3 BHK,1680.0,3.0,112.0,3,6666.666666666667
Attibele,3 Bedroom,2400.0,3.0,120.0,3,5000.0
Kudlu Gate,3 BHK,1535.0,3.0,78.0,3,5081.4332247557
Sarjapur,3 Bedroom,1200.0,3.0,76.13,3,6344.166666666667
other,2 BHK,600.0,3.0,75.0,2,12500.0
Giri Nagar,3 Bedroom,1800.0,3.0,252.0,3,14000.0
Kothannur,3 BHK,1853.0,3.0,82.0,3,4425.256341068538
Sarjapur  Road,3 BHK,1700.0,3.0,95.0,3,5588.235294117647
other,2 BHK,560.0,2.0,22.0,2,3928.571428571429
Mico Layout,2 BHK,1200.0,2.0,53.5,2,4458.333333333333
other,3 Bedroom,1200.0,3.0,225.0,3,18750.0
Gollarapalya Hosahalli,3 BHK,1605.0,3.0,50.0,3,3115.264797507788
Bellandur,2 BHK,982.0,2.0,37.28,2,3796.3340122199593
other,5 Bedroom,958.0,3.0,210.0,5,21920.66805845511
Hennur Road,2 BHK,1341.0,2.0,95.0,2,7084.265473527218
Lingadheeranahalli,4 BHK,2245.0,4.0,154.0,4,6859.688195991092
Thanisandra,2 BHK,1183.0,2.0,58.56,2,4950.126796280642
Akshaya Nagar,3 BHK,1690.0,3.0,85.0,3,5029.585798816568
other,3 BHK,1500.0,3.0,50.0,3,3333.3333333333335
Lakshminarayana Pura,2 BHK,1145.0,2.0,75.0,2,6550.218340611354
Dodda Nekkundi,3 BHK,1585.0,2.0,79.0,3,4984.22712933754
other,2 BHK,1070.0,2.0,33.43,2,3124.299065420561
other,4 Bedroom,4800.0,5.0,350.0,4,7291.666666666667
Marathahalli,4 BHK,2181.0,3.0,152.0,4,6969.280146721688
Sarjapur  Road,2 BHK,984.0,2.0,45.91,2,4665.650406504065
Sompura,3 BHK,1360.0,2.0,45.0,3,3308.823529411765
Kasturi Nagar,2 BHK,1100.0,2.0,58.0,2,5272.727272727273
Ramamurthy Nagar,3 BHK,1000.0,2.0,41.0,3,4100.0
Raja Rajeshwari Nagar,2 BHK,1196.0,2.0,40.54,2,3389.632107023411
Sarjapur  Road,4 Bedroom,3150.0,4.0,500.0,4,15873.015873015873
Banashankari Stage III,6 Bedroom,3000.0,6.0,150.0,6,5000.0
other,4 Bedroom,1200.0,4.0,350.0,4,29166.666666666668
Somasundara Palya,2 BHK,1140.0,2.0,46.0,2,4035.0877192982457
OMBR Layout,2 BHK,1085.0,2.0,64.0,2,5898.617511520737
Rajaji Nagar,2 BHK,1216.0,2.0,97.16,2,7990.131578947368
other,1 BHK,700.0,1.0,25.5,1,3642.857142857142
Banashankari Stage III,2 BHK,1304.0,2.0,111.0,2,8512.269938650306
Banashankari Stage VI,8 Bedroom,1200.0,7.0,175.0,8,14583.333333333334
Whitefield,2 Bedroom,1200.0,2.0,46.13,2,3844.1666666666665
BTM 2nd Stage,4 Bedroom,2400.0,3.0,400.0,4,16666.666666666668
Kambipura,3 BHK,1082.0,2.0,45.0,3,4158.964879852126
Kothanur,2 BHK,1094.0,2.0,54.0,2,4936.014625228519
Chandapura,2 BHK,985.0,2.0,25.12,2,2550.253807106599
other,4 Bedroom,1200.0,4.0,135.0,4,11250.0
other,1 Bedroom,660.0,1.0,95.0,1,14393.939393939394
Sarjapur,2 BHK,950.0,2.0,32.5,2,3421.0526315789475
Hennur Road,2 BHK,1232.0,2.0,69.61,2,5650.162337662337
Kanakpura Road,3 BHK,1300.0,2.0,55.0,3,4230.7692307692305
other,3 BHK,4400.0,3.0,901.0,3,20477.272727272728
other,2 BHK,975.0,2.0,43.0,2,4410.25641025641
Nehru Nagar,4 BHK,2342.0,3.0,115.0,4,4910.333048676345
TC Palaya,3 Bedroom,1200.0,3.0,66.0,3,5500.0
7th Phase JP Nagar,2 BHK,1128.0,2.0,60.0,2,5319.148936170212
Raja Rajeshwari Nagar,8 Bedroom,4800.0,8.0,225.0,8,4687.5
other,3 BHK,1641.0,3.0,66.0,3,4021.9378427787938
other,2 BHK,1200.0,2.0,43.0,2,3583.3333333333335
Battarahalli,2 BHK,1300.0,2.0,50.0,2,3846.153846153846
other,7 Bedroom,1800.0,7.0,250.0,7,13888.888888888889
Mysore Road,3 BHK,1410.0,2.0,64.0,3,4539.007092198582
BTM 2nd Stage,2 Bedroom,800.0,2.0,175.0,2,21875.0
Talaghattapura,3 BHK,2106.0,3.0,126.0,3,5982.9059829059825
Chandapura,1 BHK,620.0,1.0,27.0,1,4354.8387096774195
Whitefield,2 BHK,1050.0,2.0,43.0,2,4095.2380952380954
Hegde Nagar,3 BHK,1718.0,3.0,119.0,3,6926.6589057043075
Whitefield,2 BHK,1315.0,2.0,55.0,2,4182.509505703422
Marathahalli,3 BHK,1550.0,3.0,85.0,3,5483.870967741936
Rachenahalli,2 BHK,925.0,2.0,37.0,2,4000.0
KR Puram,2 Bedroom,1550.0,2.0,71.0,2,4580.645161290323
Banashankari,3 BHK,1400.0,2.0,78.0,3,5571.428571428572
Koramangala,2 BHK,1325.0,2.0,119.0,2,8981.132075471698
Thanisandra,4 BHK,2650.0,4.0,240.0,4,9056.603773584906
Hoodi,3 BHK,1639.0,3.0,110.0,3,6711.4093959731545
8th Phase JP Nagar,3 Bedroom,950.0,3.0,130.0,3,13684.21052631579
Banjara Layout,3 BHK,1294.0,2.0,48.0,3,3709.4281298299848
Whitefield,4 BHK,2928.0,4.0,198.0,4,6762.295081967213
Vishveshwarya Layout,6 BHK,2100.0,6.0,92.0,6,4380.952380952381
Hebbal,2 BHK,1390.0,2.0,95.0,2,6834.53237410072
Electronic City,2 BHK,1000.0,2.0,22.0,2,2200.0
AECS Layout,2 BHK,1080.0,2.0,55.0,2,5092.592592592592
Kanakpura Road,3 BHK,1450.0,3.0,53.6,3,3696.551724137931
Basaveshwara Nagar,6 Bedroom,750.0,4.0,150.0,6,20000.0
Devanahalli,3 BHK,1282.0,2.0,52.43,3,4089.703588143526
Anandapura,3 Bedroom,1200.0,2.0,66.0,3,5500.0
Kambipura,3 BHK,1082.0,2.0,45.5,3,4205.1756007393715
7th Phase JP Nagar,3 BHK,1650.0,3.0,110.0,3,6666.666666666667
Kudlu,4 BHK,2100.0,3.0,114.0,4,5428.571428571428
2nd Stage Nagarbhavi,4 Bedroom,1500.0,4.0,220.0,4,14666.666666666666
other,3 Bedroom,1200.0,3.0,130.0,3,10833.333333333334
Kasavanhalli,2 BHK,1200.0,2.0,78.0,2,6500.0
Jigani,2 BHK,914.0,2.0,49.0,2,5361.050328227571
Horamavu Banaswadi,4 Bedroom,675.0,4.0,68.0,4,10074.074074074077
Green Glen Layout,3 BHK,1752.0,3.0,105.0,3,5993.1506849315065
Margondanahalli,2 Bedroom,1140.0,2.0,60.0,2,5263.1578947368425
Hennur Road,3 BHK,1100.0,2.0,78.0,3,7090.909090909091
Whitefield,2 BHK,1190.0,2.0,57.0,2,4789.915966386555
other,5 Bedroom,1008.0,4.0,180.0,5,17857.14285714286
Hosa Road,2 BHK,1161.0,2.0,55.15,2,4750.215331610681
other,4 BHK,4209.0,4.0,602.0,4,14302.684723212164
Sarakki Nagar,3 BHK,2663.0,4.0,338.0,3,12692.452121667293
Kodichikkanahalli,2 BHK,1026.0,2.0,45.0,2,4385.964912280701
Anekal,2 Bedroom,1200.0,1.0,36.0,2,3000.0
other,6 BHK,1799.0,6.0,101.0,6,5614.230127848805
Kanakapura,3 BHK,1254.0,2.0,70.0,3,5582.13716108453
7th Phase JP Nagar,2 BHK,1000.0,2.0,70.65,2,7065.000000000001
Sector 2 HSR Layout,3 BHK,1600.0,3.0,90.0,3,5625.0
Doddathoguru,2 BHK,1104.0,2.0,39.0,2,3532.608695652174
Whitefield,2 BHK,1355.0,3.0,76.0,2,5608.856088560886
Thanisandra,4 Bedroom,3671.0,4.0,220.0,4,5992.917461182239
KR Puram,3 BHK,1700.0,3.0,105.0,3,6176.470588235294
other,4 BHK,1200.0,6.0,70.0,4,5833.333333333333
Electronic City,2 BHK,1100.0,2.0,45.0,2,4090.909090909091
Bannerghatta Road,2 BHK,1200.0,2.0,75.0,2,6250.0
other,3 BHK,2250.0,3.0,180.0,3,8000.0
Kanakpura Road,3 BHK,1300.0,3.0,69.0,3,5307.692307692308
other,2 BHK,1180.0,2.0,40.0,2,3389.830508474576
other,2 BHK,1350.0,2.0,65.0,2,4814.814814814815
Yelahanka,4 Bedroom,4346.0,4.0,450.0,4,10354.348826507134
Sarjapur  Road,3 BHK,1700.0,3.0,79.9,3,4700.000000000001
other,3 BHK,1360.0,3.0,55.0,3,4044.1176470588234
Rajaji Nagar,5 Bedroom,900.0,4.0,140.0,5,15555.555555555557
Kasavanhalli,3 Bedroom,2100.0,3.0,110.0,3,5238.0952380952385
Indira Nagar,5 Bedroom,2400.0,5.0,700.0,5,29166.666666666668
other,2 BHK,1132.0,2.0,67.0,2,5918.727915194347
Bannerghatta Road,2 BHK,1340.0,2.0,85.0,2,6343.2835820895525
other,1 BHK,530.0,1.0,18.0,1,3396.2264150943397
Yelenahalli,3 BHK,1600.0,3.0,61.37,3,3835.625
9th Phase JP Nagar,3 Bedroom,600.0,3.0,85.0,3,14166.666666666666
Kaggadasapura,3 BHK,1495.0,3.0,60.0,3,4013.377926421405
Dasarahalli,3 BHK,1520.0,2.0,75.0,3,4934.210526315789
other,4 Bedroom,1350.0,4.0,85.0,4,6296.2962962962965
Narayanapura,3 BHK,1485.0,3.0,85.0,3,5723.905723905724
Indira Nagar,2 BHK,1145.0,2.0,100.0,2,8733.624454148472
other,2 Bedroom,1225.0,2.0,65.0,2,5306.122448979592
Ramagondanahalli,2 BHK,1251.0,2.0,53.0,2,4236.610711430855
other,2 BHK,1100.0,2.0,64.08,2,5825.454545454545
Ananth Nagar,4 Bedroom,1200.0,3.0,87.0,4,7250.0
Koramangala,2 BHK,1320.0,2.0,160.0,2,12121.212121212122
Kasavanhalli,2 BHK,1147.0,2.0,60.0,2,5231.037489102006
Tumkur Road,3 BHK,1060.0,2.0,58.3,3,5500.0
Yeshwanthpur,3 BHK,1826.0,3.0,165.0,3,9036.144578313251
Domlur,3 BHK,1800.0,3.0,150.0,3,8333.333333333334
Marathahalli,2 BHK,1230.0,2.0,80.0,2,6504.065040650406
Hebbal,3 BHK,1790.0,3.0,127.0,3,7094.972067039106
Yelahanka New Town,1 BHK,650.0,1.0,20.0,1,3076.923076923077
TC Palaya,5 Bedroom,1440.0,5.0,97.0,5,6736.111111111111
Whitefield,3 BHK,1655.0,3.0,110.0,3,6646.525679758308
Uttarahalli,3 BHK,1320.0,2.0,55.44,3,4200.0
other,2 BHK,1364.0,2.0,70.0,2,5131.964809384164
Bannerghatta Road,3 BHK,1510.0,2.0,110.0,3,7284.76821192053
Murugeshpalya,4 BHK,3100.0,4.0,310.0,4,10000.0
Kalena Agrahara,3 BHK,1804.0,3.0,175.0,3,9700.665188470066
Kasavanhalli,2 BHK,1115.0,2.0,50.0,2,4484.304932735426
other,3 BHK,1290.0,3.0,45.33,3,3513.953488372093
Anekal,1 BHK,420.0,1.0,12.5,1,2976.190476190476
Basavangudi,2 BHK,1036.0,2.0,105.0,2,10135.135135135137
Padmanabhanagar,2 BHK,1200.0,2.0,60.0,2,5000.0
other,2 BHK,1120.0,2.0,40.0,2,3571.4285714285716
Thubarahalli,2 BHK,1200.0,2.0,78.0,2,6500.0
Banashankari,4 BHK,2500.0,4.0,95.0,4,3800.0
Hegde Nagar,4 BHK,2600.0,4.0,40.0,4,1538.4615384615386
KR Puram,4 Bedroom,2065.0,4.0,248.0,4,12009.685230024214
Bannerghatta Road,2 BHK,1275.0,2.0,73.0,2,5725.490196078431
Rajaji Nagar,3 BHK,1640.0,3.0,230.0,3,14024.39024390244
Horamavu Agara,2 BHK,1200.0,2.0,45.0,2,3750.0
other,3 BHK,1455.0,2.0,55.0,3,3780.0687285223366
other,4 Bedroom,3200.0,4.0,1200.0,4,37500.0
Hosa Road,3 BHK,1532.0,3.0,98.13,3,6405.352480417754
Malleshwaram,2 BHK,1500.0,2.0,140.0,2,9333.333333333334
Bommanahalli,4 BHK,2100.0,4.0,85.0,4,4047.619047619048
Sarjapur  Road,2 BHK,1130.0,2.0,55.0,2,4867.256637168141
other,2 BHK,1219.0,2.0,40.0,2,3281.3781788351107
Channasandra,7 Bedroom,4278.0,7.0,299.0,7,6989.247311827957
Ramagondanahalli,2 BHK,1253.0,2.0,52.66,2,4202.713487629689
Jakkur,4 BHK,3405.1,6.0,400.0,4,11747.085254471234
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,6296.2962962962965
Koramangala,4 Bedroom,2400.0,5.0,550.0,4,22916.666666666668
other,6 Bedroom,900.0,6.0,170.0,6,18888.88888888889
Kannamangala,2 BHK,957.0,2.0,56.0,2,5851.619644723093
other,3 Bedroom,600.0,4.0,125.0,3,20833.333333333332
other,7 Bedroom,4000.0,7.0,90.0,7,2250.0
Horamavu Banaswadi,3 BHK,1611.0,3.0,66.0,3,4096.83426443203
Whitefield,2 BHK,1495.0,2.0,79.5,2,5317.725752508361
Hosur Road,3 BHK,1689.0,3.0,103.0,3,6098.283007696862
Ambedkar Nagar,3 BHK,1935.0,4.0,130.0,3,6718.3462532299745
Electronic City,3 BHK,1500.0,2.0,64.5,3,4300.0
Thanisandra,1 BHK,662.0,1.0,45.0,1,6797.583081570997
Thanisandra,3 BHK,1698.0,3.0,125.0,3,7361.601884570083
Harlur,2 BHK,1200.0,2.0,52.0,2,4333.333333333333
Lingadheeranahalli,4 BHK,2240.0,4.0,160.0,4,7142.857142857143
9th Phase JP Nagar,4 Bedroom,1200.0,3.0,188.0,4,15666.666666666666
Yeshwanthpur,3 BHK,1855.0,3.0,140.0,3,7547.169811320755
other,3 BHK,1440.0,2.0,63.93,3,4439.583333333333
other,3 BHK,1312.0,2.0,56.5,3,4306.40243902439
Banashankari Stage III,3 BHK,1305.0,2.0,60.0,3,4597.701149425287
Gottigere,2 BHK,1100.0,2.0,28.0,2,2545.4545454545455
other,3 BHK,1602.0,2.0,170.0,3,10611.735330836456
Old Madras Road,3 BHK,2640.0,5.0,150.0,3,5681.818181818182
Badavala Nagar,3 BHK,1842.0,3.0,115.0,3,6243.213897937025
5th Phase JP Nagar,2 BHK,1450.0,2.0,58.0,2,4000.0
Electronics City Phase 1,3 BHK,1291.0,2.0,32.0,3,2478.698683191325
Old Madras Road,5 BHK,4500.0,7.0,294.0,5,6533.333333333333
Kumaraswami Layout,7 Bedroom,3200.0,7.0,150.0,7,4687.5
7th Phase JP Nagar,4 Bedroom,3300.0,4.0,150.0,4,4545.454545454545
Bannerghatta Road,4 Bedroom,2400.0,4.0,344.0,4,14333.333333333334
Vidyaranyapura,4 Bedroom,600.0,3.0,78.0,4,13000.0
Varthur Road,3 BHK,1033.0,2.0,30.47,3,2949.6611810261375
other,2 BHK,800.0,2.0,32.0,2,4000.0
Hosa Road,2 BHK,1430.0,2.0,97.52,2,6819.580419580419
Sarjapur  Road,2 BHK,1280.0,2.0,76.0,2,5937.5
Bannerghatta Road,1 BHK,700.0,1.0,31.2,1,4457.142857142857
other,2 BHK,1225.0,2.0,48.0,2,3918.3673469387754
other,2 Bedroom,2260.0,3.0,90.0,2,3982.300884955752
Thanisandra,8 Bedroom,3600.0,9.0,125.0,8,3472.222222222222
Kudlu,3 BHK,1455.0,2.0,60.0,3,4123.711340206186
Sarjapur,4 BHK,1917.0,3.0,60.0,4,3129.890453834116
Electronic City,2 BHK,880.0,2.0,29.0,2,3295.4545454545455
7th Phase JP Nagar,3 BHK,1800.0,3.0,130.0,3,7222.222222222223
Vishveshwarya Layout,3 Bedroom,600.0,4.0,99.0,3,16500.0
other,2 BHK,1200.0,2.0,54.0,2,4500.0
other,3 BHK,1904.0,3.0,150.0,3,7878.151260504202
Yelahanka,3 BHK,1282.0,2.0,48.7,3,3798.751950078003
other,5 BHK,2000.0,4.0,145.0,5,7250.0
other,2 Bedroom,1200.0,2.0,70.0,2,5833.333333333333
Yelahanka,1 BHK,654.0,1.0,37.0,1,5657.492354740061
other,5 Bedroom,1200.0,3.0,95.0,5,7916.666666666667
Malleshwaram,3 BHK,2006.0,3.0,297.0,3,14805.583250249252
Chandapura,3 BHK,1185.0,2.0,30.22,3,2550.2109704641352
Kalena Agrahara,2 BHK,1200.0,2.0,45.0,2,3750.0
other,3 Bedroom,2400.0,3.0,290.0,3,12083.333333333334
other,2 BHK,1050.0,2.0,65.0,2,6190.476190476191
Kathriguppe,3 BHK,1365.0,2.0,75.08,3,5500.3663003663005
other,2 BHK,830.0,2.0,40.0,2,4819.277108433735
other,3 BHK,1900.0,3.0,155.0,3,8157.894736842105
Hebbal,2 BHK,823.0,2.0,50.63,2,6151.883353584447
other,3 BHK,1600.0,3.0,72.0,3,4500.0
Whitefield,4 Bedroom,4827.0,4.0,400.0,4,8286.720530350114
Vijayanagar,3 BHK,1580.0,2.0,134.0,3,8481.012658227848
Ramamurthy Nagar,2 BHK,1200.0,2.0,57.9,2,4825.0
other,2 BHK,1220.0,2.0,48.79,2,3999.1803278688526
Electronic City,2 BHK,1342.0,2.0,73.3,2,5461.997019374068
Begur Road,2 BHK,1200.0,2.0,46.8,2,3900.0
Chandapura,2 BHK,937.0,2.0,30.0,2,3201.7075773745996
Hosa Road,2 BHK,1365.0,2.0,92.0,2,6739.92673992674
Sarjapur  Road,2 BHK,1263.0,2.0,78.0,2,6175.771971496437
Hennur,2 BHK,1041.0,2.0,40.6,2,3900.096061479346
other,2 BHK,825.0,2.0,35.0,2,4242.424242424242
Yelahanka,2 BHK,1180.0,2.0,56.0,2,4745.762711864407
Kasavanhalli,2 BHK,1158.0,2.0,67.0,2,5785.837651122625
Jalahalli,3 BHK,1530.0,2.0,89.0,3,5816.993464052288
CV Raman Nagar,2 BHK,1227.0,2.0,42.88,2,3494.702526487368
Sarjapur  Road,2 BHK,1120.0,2.0,50.0,2,4464.285714285715
Bannerghatta Road,3 BHK,1445.0,3.0,95.0,3,6574.39446366782
Marathahalli,3 BHK,1535.0,3.0,72.5,3,4723.127035830619
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329.113924050633
ISRO Layout,2 BHK,1050.0,2.0,51.0,2,4857.142857142857
